step,time,loss,acc
50,2024-10-29T03:49:36.799775,3.658440e-01,8.437500e-01
100,2024-10-29T03:50:10.799413,3.837060e-01,8.046875e-01
150,2024-10-29T03:50:45.939122,2.488058e-01,9.062500e-01
200,2024-10-29T03:51:20.517494,2.834656e-01,8.750000e-01
250,2024-10-29T03:51:55.021044,1.566521e-01,9.296875e-01
300,2024-10-29T03:52:30.343995,2.597256e-01,8.828125e-01
350,2024-10-29T03:53:05.109086,2.123181e-01,9.062500e-01
400,2024-10-29T03:53:40.279383,1.973860e-01,9.375000e-01
450,2024-10-29T03:54:14.105441,1.157662e-01,9.531250e-01
500,2024-10-29T03:54:47.865624,2.345440e-01,9.296875e-01
550,2024-10-29T03:55:37.987129,1.421080e-01,9.453125e-01
600,2024-10-29T03:56:12.201200,1.296102e-01,9.609375e-01
650,2024-10-29T03:56:46.320958,2.577690e-01,9.296875e-01
700,2024-10-29T03:57:19.966425,2.240226e-01,9.140625e-01
750,2024-10-29T03:57:55.100760,1.615835e-01,9.453125e-01
800,2024-10-29T03:58:30.561173,1.006187e-01,9.609375e-01
850,2024-10-29T03:59:04.976275,1.251881e-01,9.609375e-01
900,2024-10-29T03:59:39.537622,1.878567e-01,9.296875e-01
950,2024-10-29T04:00:14.397899,1.167412e-01,9.609375e-01
1000,2024-10-29T04:00:48.983755,1.556299e-01,9.375000e-01
1050,2024-10-29T04:01:41.900225,2.236699e-01,9.218750e-01
1100,2024-10-29T04:02:17.390237,9.003353e-02,9.843750e-01
1150,2024-10-29T04:02:52.916502,2.255886e-01,9.062500e-01
1200,2024-10-29T04:03:27.995333,2.330603e-01,9.218750e-01
1250,2024-10-29T04:04:04.475547,1.714430e-01,9.140625e-01
1300,2024-10-29T04:04:40.169423,2.629849e-01,9.140625e-01
1350,2024-10-29T04:05:14.882600,1.393559e-01,9.453125e-01
1400,2024-10-29T04:05:49.793493,9.941693e-02,9.453125e-01
1450,2024-10-29T04:06:23.916264,1.035316e-01,9.609375e-01
1500,2024-10-29T04:06:59.056713,1.039083e-01,9.765625e-01
1550,2024-10-29T04:07:49.928705,1.987717e-01,9.453125e-01
1600,2024-10-29T04:08:24.620472,2.686328e-01,9.296875e-01
1650,2024-10-29T04:09:00.433884,1.566373e-01,9.453125e-01
1700,2024-10-29T04:09:35.639253,1.292872e-01,9.687500e-01
1750,2024-10-29T04:10:11.519629,1.108504e-01,9.531250e-01
1800,2024-10-29T04:10:45.898965,1.092392e-01,9.531250e-01
1850,2024-10-29T04:11:20.245395,1.506668e-01,9.453125e-01
1900,2024-10-29T04:11:55.120492,7.324887e-02,9.765625e-01
1950,2024-10-29T04:12:29.240518,7.785565e-02,9.843750e-01
2000,2024-10-29T04:13:06.095347,2.156118e-01,9.375000e-01
2050,2024-10-29T04:13:56.910873,1.308246e-01,9.453125e-01
2100,2024-10-29T04:14:32.485066,6.135314e-02,9.843750e-01
2150,2024-10-29T04:15:07.957899,9.979515e-02,9.609375e-01
2200,2024-10-29T04:15:43.158881,7.133743e-02,9.843750e-01
